company_name,site_url,country,description,company_logo_url
Olam International,http://www.olamgroup.com,Singapore,"Olam International is a leading agri-business operating from seed to shelf in 70 countries, supplying food and industrial raw materials to over 16,200 customers worldwide. Its team of 62,500 employees has built a leadership position in many businesses including cocoa, coffee, cashew, rice and cotton.",
Orillion,https://orillion.com,New Zealand,Orillion is charged with designing and manufacturing innovative and superior solutions to safeguard and protect our environment from disease and destruction caused by introduced mammalian pests.,
Partners in Prosperity Society,http://www.pnpindia.in/,India,"PnP was founded in 1998 with an objective to help poor communities to be self-reliant and evolve out of the poverty cycle. By enhancing livelihood opportunities, PnP aims to mitigate economic disparities through efficient utilization of natural resources and community empowerment.",
Prime Agri Technologies,,Myanmar,"PRIME Agri is the first GLOBALG.A.P certified producer in Myanmar that has initiated a roadmap to implement good agricultural practices and food safety standards for processing as a basis for Myanmar's agricultural sector. It is committed to achieve a positive social impact by improving rural livelihoods through its commercial platform and investing activities.",
Provivi,http://provivi.com,USA,"Provivi is a groundbreaking science-based company creating scalable, safer insect control technology that will improve the quality of life for all humans and our world.",
Punjab Agricultural University,http://www.web.pau.edu,India,"Punjab Agricultural University is a state agricultural university in India. It has played a key role in increasing food grain production in the Punjab State, which helped usher in an era of Green Revolution in the country.",
Quality Certification Services,https://www.qcsinfo.org,USA,"QCS is an industry leader with more than 30 years of experience in certification, QCS has clients in 39 states and 12 countries, meeting the needs of farming operations regardless of type, location, or size in the ever-expanding worldwide market.",
QualySense AG,http://www.qualysense.com,Switzerland,"QualySense develops high-end solutions for a safe and sustainable food supply. By pioneering single-kernel analysis, combining two sensing technologies - Machine Vision and hyperspectral NIR - QualySense is helping seed breeders, food companies and inspection agencies to achieve excellence in nutrition, health and safety.",
REEDS Pakistan,,Pakistan,,
Reismuehle Brunnen Co Ltd,http://www.reismuehle.ch,Switzerland,Reismuhle Brunnen produces and markets rice and rice dishes both at its home market and abroad. The company considers sustainability as an integral part of its business activity that will lead to its long-term success. ,
Rice Department of Thailand,http://ricethailand.go.th,Thailand,The Rice Department of Thailand is the agency responsible for agriculture and cooperatives. It aims to be a premier organization in research and development of rice and essentially promote the sustainability of Thai farmers to guarantee people’s food security.,
Rice Exchange,https://ricex.io, Rice Exchange is a digital rice trading platform with an integrated supply chain solution, Switzerland,
RICE TILLER-Cheshinovo,,Macedonia,,
Rikolto (formerly VECO),http://www.rikolto.org,Belgium,"Formerly known as VECO, Rikolto is an international NGO with more than 40 years of experience in partnering with farmer organisations and food chain actors across Africa, Asia, Europe and Latin America. Rikolto enables and supports smallholder farmers to take up their role in rural poverty alleviation and to contribute to feeding a growing world population in a sustainable way. In light of its new name, meaning 'harvest' in Esperanto language, Rikolto particularly aims at harvesting new ideas and solutions to improve food systems.",
Saahtain Asia,,Brunei,"",
SarVision,http://sarvision.nl,Netherlands,"SarVision is a spin-off from Wageningen University (WUR) based in the Netherlands. SarVision pioneers the operational application of systematic satellite and airborne monitoring and mapping systems for environmental and natural resource management.",
Satelligence,http://www.satelligence.com,Netherlands,"Satelligence provides advanced services and products for semi-automated near-realtime multi-sensor radar and optical satellite monitoring of land and water dynamics over large areas at high spatial detail (250, 30, and 5m).",
Shivrai Technologies Pvt. Ltd.,http://shivrai.co.in,India,"Shivrai Technologies Pvt. Ltd. is an India-based company specializing in innovative IT solutions to enterprises. The company has done pioneering work in the field of agriculture and agribusiness, and is involved in the development of ‘FarmERP – A future ready smart agriculture ERP platform’.",
Solidaridad Network,http://www.solidaridadnetwork.org,Netherlands,"Solidaridad is an international network organization with partners all over the world. It envisions a world where the people who produce the resources on which all people depend can contribute to change that matters, change that leads to prosperity for all, without harming each other or the environment.",
SRI International Network and Resource Center (Observer),,USA,,
Sri Lanka Department of Agriculture /  Rice R&D Institute,http://www.doa.gov.lk,Sri Lanka,The Rice Research and Development Institute strives to bring about self-reliance in rice despite changes in trade policies that adversely affect the rice grower. It pursues this goal by consistently developing technology for obtaining high yield with excellent quality.,
SunRice,https://www.sunrice.com.au,Australia,"SunRice is one of the largest rice food companies in the world and one of Australia's leading branded food exporters.",
Syngenta,http://www.syngenta.com,Singapore,"Syngenta provides products and solutions to help farmers achieve global food security for a growing population, sustainably. The company works by looking at agriculture through the eyes of growers, and by applying world-class science to develop crop protection products and seeds.",
Taj Food Pvt Ltd,http://www.tajfoodpk.org,Pakistan,"Taj Food is located in the Punjab, Pakistan, a place known for its rich cultural heritage, tradition, as well as its rich harvest worldwide. Taj Food is one of the leading suppliers of organic rice and dried fruits from Pakistan. It is IFSSC certified and is in the process of obtaining a BRC certificate.",
TAN-EU Capital Ltd,http://www.tan-eu-capital.com,Hong Kong,"TAN-EU Capital is an investment company based in Hong Kong. The company's primary portfolio has been in management of real estate private equity funds. Recently, it has expanded its portfolio to include sustainable investment, with a seed project on sustainable rice production in Leyte Island, Philippines.",
UN Environment,http://www.unep.org,,"UNEP is the leading global environmental authority that sets the global environmental agenda, promotes the coherent implementation of the environmental dimension of sustainable development within the United Nations system and serves as an authoritative advocate for the global environment.",
Upland Rice Millers Co Ltd,info@uplandrice.com,Uganda,"Upland Rice Millers Co. Ltd is located in Jinja, a town in the eastern region Uganda. The company trades in rice, maize, beans and other agricultural products as part of its core business.",
Van Sillevoldt Rijst B.V.,http://www.vsr-rice.com/1.aspx,Netherlands,Van Sillevoldt Rijst is the leading Private Label supplier of tailor-made natural rice solutions for the European retail and food industry. It shares a strong commitment to protect the environment and minimize impact across its business. Van Sillevoldt Rijst is one of the leading Pan-European rice suppliers.,
VBS Agrotech Ltd,,India,,
Veetee Rice Ltd,http://www.veetee.com/en-gb,United Kingdom,"Veetee is one of the largest rice suppliers in the United Kingdom, and also has operations in the United States. The company recognizes its responsibility to protect the environment and its different stakeholders to create a sustainable future.",
VSO International,https://www.vsointernational.org,Cambodia,"VSO programmes are delivered by energetic, passionate and skilled individuals who deliver sustainable solutions to tackle poverty. Evidence shows that results achieved through volunteering offer have a deeper and longer lasting impact and higher value for money.",
Westmill Foods Co Ltd,http://www.westmill.co.uk,United Kingdom,"Westmill Foods is one of Europe's largest specialist food companies, supplying a range of high-quality rice, spices, sauces, edible oils, flour and noodles to the ethnic wholesale trade, cash and carry stores, mainstream food service businesses and the grocery multiples.",
Wildlife Conservation Society,http://www.wcs.org,United States,"Wildlife Conservation Society's goal is to conserve the world's largest wild places in 15 priority regions, home to more than 50% of the world's biodiversity. WCS works in more than 60 countries across the world, including Cambodia where WCS is implementing an SRP farm trial. WCS's Cambodia farm trial aims to use SRP to improve the conservation status of Bengal Florican, a Critically Endangered bird, and enable the organization to advise SRP on ensuring that biodiversity needs are well represented in the SRP Standards. ",
Winrock International,https://www.winrock.org,USA,"Winrock International is a recognized leader in U.S. and international development with a focus on social, agricultural and environmental issues. Inspired by its namesake Winthrop Rockefeller, Winrock combines scientific and technical expertise with entrepreneurial innovation to deliver market-based solutions that improve lives around the world. Winrock’s mission is to empower the disadvantaged, increase economic opportunity and sustain natural resources across the globe.",
World Agroforestry Centre (ICRAF),http://worldagroforestry.org,Kenya,"World Agroforestry (ICRAF) is a centre of science and development excellence that harnesses the benefits of trees for people and the environment. Leveraging the world’s largest repository of agroforestry science and information, we develop knowledge practices, from farmers’ fields to the global sphere, to ensure food security and environmental sustainability.",
WWF Pakistan,http://www.wwfpak.org,Pakistan,"WWF-Pakistan is a proud member of the WWF International Network, once of the world's largest and most experienced independent conservation organizations, with almost four million supporters. WWF-Pakistan carries out conservation work according to the Global Programme Framework.",
